Backpropagation for Energy-Efficient Neuromorphic Computing,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1080.4822&rep=rep1&type=pdf,291

Less is More: Nyström Computational Regularization ,https://papers.nips.cc/paper/2015/hash/03e0704b5690a2dee1861dc3ad3316c9-Abstract.html, 195
Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting, https://papers.nips.cc/paper/2015/hash/07563a3fe3bbe7e3ba84431ad9d055af-Abstract.html, 3143

Combinatorial Bandits Revisited, https://papers.nips.cc/paper/2015/hash/0ce2ffd21fc958d9ef0ee9ba5336e357-Abstract.html, 143

Attention-Based Models for Speech Recognition, https://papers.nips.cc/paper/2015/hash/1068c6e4c8051cfd4e9ea8072e3189e2-Abstract.html, 1781
Weakly-supervised Disentangling with Recurrent Transformations for 3D View Synthesis, https://papers.nips.cc/paper/2015/hash/109a0ca3bc27f3e96597370d5c8cf03d-Abstract.html, 293
Backpropagation for Energy-Efficient Neuromorphic Computing, https://papers.nips.cc/paper/2015/hash/10a5ab2db37feedfdeaab192ead4ac0e-Abstract.html, 291
Efficient and Robust Automated Machine Learning, https://papers.nips.cc/paper/2015/hash/11d0e6287202fced83f79975ec59a3a6-Abstract.html, 877

Time-Sensitive Recommendation From Recurrent User Activities, https://papers.nips.cc/paper/2015/hash/136f951362dab62e64eb8e841183c2a9-Abstract.html, 120

Learning Continuous Control Policies by Stochastic Value Gradients, https://papers.nips.cc/paper/2015/hash/148510031349642de5ca0c544f31b2ef-Abstract.html, 388
Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks, https://papers.nips.cc/paper/2015/hash/14bfa6bb14875e45bba028a21ed38046-Abstract.html, 24012
Randomized Block Krylov Methods for Stronger and Faster Approximate Singular Value Decomposition, https://papers.nips.cc/paper/2015/hash/1efa39bcaec6f3900149160693694536-Abstract.html, 155

Optimal Testing for Properties of Distributions, https://papers.nips.cc/paper/2015/hash/1f36c15d6a3d18d52e8d493bc8187cb9-Abstract.html, 122

Training Very Deep Networks, https://papers.nips.cc/paper/2015/hash/215a71a12769b056c3c32e7299f1c5ed-Abstract.html, 1411
Character-level Convolutional Networks for Text Classification, https://papers.nips.cc/paper/2015/hash/250cf8b51c773f3f8dc8b4be867a9a02-Abstract.html, 3239

Interactive Control of Diverse Complex Characters with Neural Networks, https://papers.nips.cc/paper/2015/hash/2612aa892d962d6f8056b195ca6e550d-Abstract.html, 105

Inferring Algorithmic Patterns with Stack-Augmented Recurrent Nets, https://papers.nips.cc/paper/2015/hash/26657d5ff9020d2abefe558796b99584-Abstract.html, 340
Grammar as a Foreign Language, https://papers.nips.cc/paper/2015/hash/277281aada22045c03945dcb2ca6f2ec-Abstract.html, 780
Practical and Optimal LSH for Angular Distance, https://papers.nips.cc/paper/2015/hash/2823f4797102ce1a1aec05359cc16dd9-Abstract.html, 330
Pointer Networks, https://papers.nips.cc/paper/2015/hash/29921001f2f04bd3baee84a12e98098f-Abstract.html, 1725
Generative Image Modeling Using Spatial LSTMs, https://papers.nips.cc/paper/2015/hash/2b6d65b9a9445c4271ab9076ead5605a-Abstract.html, 188
Natural Neural Networks, https://papers.nips.cc/paper/2015/hash/2de5d16682c3c35007e4e92982f1a2ba-Abstract.html, 164

Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning, https://papers.nips.cc/paper/2015/hash/309fee4e541e51de2e41f21bebb342aa-Abstract.html, 147

A Convergent Gradient Descent Algorithm for Rank Minimization and Semidefinite Programming from Random Linear Measurements, https://papers.nips.cc/paper/2015/hash/32bb90e8976aab5298d5da10fe66f21d-Abstract.html, 172
Spatial Transformer Networks, https://papers.nips.cc/paper/2015/hash/33ceb07bf4eeb3da587e268d663aba1a-Abstract.html, 4252
Precision-Recall-Gain Curves: PR Analysis Done Right, https://papers.nips.cc/paper/2015/hash/33e8075e9970de0cfea955afd4644bb2-Abstract.html, 168
Sparse Local Embeddings for Extreme Multi-label Classification, https://papers.nips.cc/paper/2015/hash/35051070e572e47d2c26c241ab88307f-Abstract.html, 348
